word,real_word,index,rank,count,sentence
hurry,hurry,962,12483,5,"By this time my patience was exhausted, because I was in a hurry to start taking my engine apart."
flew,flew,13143,12510,1,He flew when he could.
reign,reign,6150,12555,1,"""Kings do not own, they reign over."
sensible,sensible,515,12564,1,And the grown-up would be greatly pleased to have met such a sensible man.
wore,wore,11627,12593,1,I had loosened the golden muffler that he always wore.
ridiculous,ridiculous,6999,12604,1,Nevertheless he is the only one of them all who does not seem to me ridiculous.
majesty,Majesty,5350,12656,1,"""If Your Majesty wishes to be promptly obeyed,"" he said, ""he should be able to give me a reasonable order."
cough,cough,3981,12683,2,"Embarrassed over having let herself be caught on the verge of such a na ve untruth, she coughed two or three times, in order to put the little prince in the wrong."
plea,plea,11899,12702,1,And the grown-up would be greatly pleased to have met such a sensible man.
hesitate,hesitated,5382,12724,2,"As the king made no answer, the little prince hesitated a moment."
prey,prey,172,12727,1,"In the book it said: ""Boa constrictors swallow their prey whole, without chewing it."
realise,realised,4285,12748,2,"And when he watered the flower for the last time, and prepared to place her under the shelter of her glass globe, he realised that he was very close to tears."
excite,exciting,3775,12803,2,The little prince could guess easily enough that she was not any too modest-- but how moving-- and exciting-- she was!
elegance,elegance,1560,12827,1,"So in the astronomer gave his demonstration all over again, dressed with impressive style and elegance."
throne,throne,4508,12833,1,"Clad in royal purple and ermine, he was seated upon a throne which was at the same time both simple and majestic."
almanac,almanac,5087,12877,1,replied the king; and before saying anything else he consulted a bulky almanac.
sunlight,sunlight,10913,12969,1,"The song of the pulley was still in my ears, and I could see the sunlight shimmer in the still trembling water."
fond,fond,2741,12984,1,"""I am very fond of sunsets."
underneath,underneath,9175,13002,1,Other steps send me hurrying back underneath the ground.
descent,descent,11225,13070,1,"""You know-- my descent to the earth..."
judged,judged,4091,13076,1,I ought to have judged by deeds and not by words.
mushroom,mushroom,3237,13119,2,"But he is not a man-- he is a mushroom!"""
upward,upward,2341,13129,1,Then this little seed will stretch itself and begin-- timidly at first-- to push a charming little sprig inoffensively upward toward the sun.
judging,judging,5236,13136,1,"If you succeed in judging yourself rightly, then you are indeed a man of true wisdom."""
tragic,tragic,4955,13147,1,"""If I ordered a general to fly from one flower to another like a butterfly, or to write a tragic drama, or to change himself into a sea bird, and if the general did not carry out the order that he had received, which one of us would be in the wrong?"""
dove,doves,1676,13180,1,"If you were to say to the grown-ups: ""I saw a beautiful house made of rosy brick, with geraniums in the windows and doves on the roof,"" they would not be able to get any idea of that house at all."
pretend,pretend,8755,13188,2,"she would cough most dreadfully, and she would pretend that she was dying, to avoid being laughed at."
awake,awake,3720,13247,1,"Thus you can imagine my amazement, at sunrise, when I was awakened by an odd little voice."
majestic,majestic,4517,13306,1,"Clad in royal purple and ermine, he was seated upon a throne which was at the same time both simple and majestic."
scarf,scarf,6313,13372,1,"""If I owned a silk scarf,"" he said, ""I could put it around my neck and take it away with me."
sigh,sigh,5386,13389,3,"Whenever I met one of them who seemed to me at all clear-sighted, I tried the experiment of showing him my Drawing Number One, which I have always kept."
pant,panted,7101,13474,1,The little prince sat down on the table and panted a little.
grease,grease,3142,13495,1,"He looked at me there, with my hammer in my hand, my fingers black with engine-grease, bending down over an object, which seemed to him extremely ugly..."
rite,rites,9448,13504,3,"One must observe the proper rites..."""
xii,XII,100,13563,2,Chapter XII
astronomical,Astronomical,1508,13574,1,"On making his discovery, the astronomer had presented it to the International Astronomical Congress, in a great demonstration."
malicious,malicious,12294,13639,1,Snakes-- they are malicious creatures.
volcano,volcanoes,4162,13644,15,He carefully cleaned out his active volcanoes.
hum,Hum,4670,13658,8,"""Hum!"
suspicious,suspicious,10683,13890,1,"As his lips opened slightly with the suspicious of a half-smile, I said to myself, again: ""What moves me so deeply, about this little prince who is sleeping here, is his loyalty to a flower-- the image of a rose that shines through his whole being like the flame of a lamp, even when he is asleep..."""
blossom,blossom,3358,13900,1,"""If some one loves a flower, of which just one single blossom grows in all the millions and millions of stars, it is enough to make him happy just to look at the stars."
bury,buried,1227,13987,2,"Then, taking my sheep out of his pocket, he buried himself in the contemplation of his treasure."
insist,insisted,4692,13994,2,For what the king fundamentally insisted upon was that his authority should be respected.
entertain,entertaining,5523,14008,2,"""This is more entertaining than the visit to the king,"" the little prince said to himself."
shook,shook,9949,14054,1,And a brilliantly lighted express train shook the switchman's cabin as it rushed by with a roar like thunder.
arithmetic,arithmetic,316,14094,2,"The grown-ups' response, this time, was to advise me to lay aside my drawings of boa constrictors, whether from the inside or the outside, and devote myself instead to geography, history, arithmetic and grammar."
ruin,ruin,11376,14164,1,Beside the well there was the ruin of an old stonewall.
fragile,fragile,10636,14236,3,It seemed to me that I was carrying a very fragile treasure.
masterpiece,masterpiece,221,14319,1,"I showed my masterpiece to the grown-ups, and asked them whether the drawing frightened them."
obey,obey,4733,14320,3,"When a mystery is too overpowering, one dare not disobey."
eats,eats,2920,14389,3,"""A sheep-- if it eats little bushes, does it eat flowers, too?"""
glitter,glittering,6064,14424,1,"Little glittering objects."""
rusty,rusty,12433,14441,1,All the stars will be wells with a rusty pulley.
herd,herd,2187,14443,3,"I pointed out to the little prince that baobabs were not little bushes, but, on the contrary, trees as big as castles; and that even if he took a whole herd of elephants away with him, the herd would not eat up one single baobab."
curiosity,curiosity,1237,14466,2,"You can imagine how my curiosity was aroused by this half-confidence about the ""other planets."""
abandon,abandoned,12399,14530,1,"""But it will be like an old abandoned shell."
unhappy,unhappy,4023,14572,2,"He had taken seriously words, which were without importance, and it made him very unhappy."
sorrow,sorrow,11252,14621,4,"And once again, without understanding why, I had a queer sense of sorrow."
queer,queer,1328,14638,4,"What a queer idea!"""
farther,farther,6970,14790,3,"""That man,"" said the little prince to himself, as he continued farther on his journey, ""that man would be scorned by all the others: by the king, by the conceited man, by the tippler, by the businessman."
speedy,speedy,7638,14815,2,"""It means, 'which is in danger of speedy disappearance.'"""
toss,tossed,967,14874,3,So I tossed off this drawing.
pity,pity,4075,14886,2,"This tale of claws, which disturbed me so much, should only have filled my heart with tenderness and pity."""
steadily,steadily,4205,14921,2,"If they are well cleaned out, volcanoes burn slowly and steadily, without any eruptions."
beg,beg,3721,14968,2,I should have liked to begin this story in the fashion of the fairy-tales.
seventy,seventy,4902,14987,1,"If he had been master of such complete authority, he would have been able to watch the sunset, not forty-four times in one day, but seventy-two, or even a hundred, or even two hundred times, without ever having to move his chair."
troop,troops,13164,14989,2,France was occupied by Hitler's troops.
ambition,ambition,12940,15031,1,His greatest ambition was to be an officer in the Navy.
flock,flock,4145,15058,1,I believe that for his escape he took advantage of the migration of a flock of wild birds.
bending,bending,3143,15064,1,"He looked at me there, with my hammer in my hand, my fingers black with engine-grease, bending down over an object, which seemed to him extremely ugly..."
furnish,furnish,7397,15083,2,But one requires the explorer to furnish proofs.
chap,chap,823,15162,1,"But then I remembered how my studies had been concentrated on geography, history, arithmetic, and grammar, and I told the little chap (a little crossly, too) that I did not know how to draw."
monarch,monarch,4612,15226,3,"""It is contrary to etiquette to yawn in the presence of a king,"" the monarch said to him."
kindness,kindness,3790,15279,3,"""If you would have the kindness to think of my needs--"""
forgiveness,forgiveness,4321,15356,1,"""I ask your forgiveness."
negro,Negro,7732,15402,1,"One can count; there are kings (not forgetting, to be sure, the Negro kings among them), geographers, , businessmen, , , tipplers, and , , conceited men-- that is to say, about , , , grown-ups."
splendid,splendid,7785,15458,1,"Seen from a slight distance, that would make a splendid spectacle."
chimney,chimney,4214,15658,1,Volcanic eruptions are like fires in a chimney.
obedience,obedience,5032,15783,1,He tolerated no disobedience.
rag,rag,10094,15810,1,"The grown-ups discouraged me in my painter's career when I was six years old, and I never learned to draw anything, except boas from the outside and boas from the inside."
softly,softly,11108,15886,1,"""You must keep your promise,"" said the little prince, softly, as he sat down beside me once more."
occupy,occupied,5811,15899,4,This man was so much occupied that he did not even raise his head at the little prince's arrival.
metre,metres,11471,15927,1,"I was only twenty metres from the wall, and I still saw nothing."
robe,robe,4596,15950,1,The little prince looked everywhere to find a place to sit down; but the entire planet was crammed and obstructed by the king's magnificent ermine robe.
moonlight,moonlight,8105,15981,3,"He was beginning to be afraid he had come to the wrong planet, when a coil of gold, the colour of the moonlight, flashed across the sand."
affection,affection,4116,15988,1,I ought to have guessed all the affection that lay behind her poor little stratagems.
foolish,foolish,4370,16072,1,But you-- you have been just as foolish as I.
crashed,crashed,706,16154,1,"Remember, I had crashed in the desert a thousand miles from any inhabited region."
impress,impress,12827,16236,1,"So in the astronomer gave his demonstration all over again, dressed with impressive style and elegance."
xiv,XIV,104,16318,2,Chapter XIV
clad,Clad,4500,16356,1,"Clad in royal purple and ermine, he was seated upon a throne which was at the same time both simple and majestic."
xiii,XIII,102,16385,2,Chapter XIII
cabbage,cabbages,11146,16414,1,"""Your baobabs-- they look a little like cabbages."""
swell,swell,3231,16522,1,And that makes him swell up with pride.
mantle,mantle,4766,16528,1,"""I order you to do so,"" the king answered him, and majestically gathered in a fold of his ermine mantle."
gesture,gesture,4822,16533,2,"The king made a gesture, which took in his planet, the other planets, and all the stars."
volcanic,Volcanic,4209,16583,1,Volcanic eruptions are like fires in a chimney.
admire,admire,5592,16605,5,"I am about to receive a visit from an admirer!"""
fundamentally,fundamentally,4691,16652,1,For what the king fundamentally insisted upon was that his authority should be respected.
absurd,Absurd,786,16818,4,"Absurd as it might seem to me, a thousand miles from any human habitation and in danger of death, I took out of my pocket a sheet of paper and my fountain pen."
gaze,gazed,8256,16957,3,The little prince gazed at him for a long time.
yourselves,yourselves,12784,17006,1,Ask yourselves: is it yes or no?
decorate,decorated,6678,17105,1,Then he mopped his forehead with a handkerchief decorated with red squares.
poetic,poetic,6384,17291,1,"""It is rather poetic."
awkward,awkward,3477,17452,1,I felt awkward and blundering.
xvi,XVI,107,17518,2,Chapter XVI
wander,wander,1337,17542,1,"""But if you don't tie him,"" I said, ""he will wander off somewhere, and get lost."""
discovers,discovers,1454,17661,1,"When an astronomer discovers one of these he does not give it a name, but only a number."
pardon,pardon,5303,17724,1,But you will pardon him on each occasion; for he must be treated thriftily.
caterpillar,caterpillars,4406,17815,3,"""Well, I must endure the presence of two or three caterpillars if I wish to become acquainted with the butterflies."
chew,chewing,175,17819,1,"In the book it said: ""Boa constrictors swallow their prey whole, without chewing it."
climbed,climbed,8506,17867,1,"After that, the little prince climbed a high mountain."
ashamed,ashamed,3162,17894,4,That made me a little ashamed.
endure,endure,4401,17899,1,"""Well, I must endure the presence of two or three caterpillars if I wish to become acquainted with the butterflies."
dune,dune,10507,17920,1,"One sits down on a desert sand dune, sees nothing, hears nothing."
dug,dug,10803,17952,1,The wells of the Sahara are mere holes dug in the sand.
tolerate,tolerated,4700,17963,1,He tolerated no disobedience.
richest,richest,5615,18005,1,"""To admire mean that you regard me as the handsomest, the best-dressed, the richest, and the most intelligent man on this planet."""
seize,seized,2127,18031,2,"For the little prince asked me abruptly-- as if seized by a grave doubt-- ""It is true, isn't it, that sheep eat little bushes?"""
sadness,sadness,1375,18051,2,"And, with perhaps a hint of sadness, he added:"
indulgence,indulgence,11,18098,1,I ask the indulgence of the children who may read this book for dedicating it to a grown-up.
puff,puff,10736,18108,1,"I felt the need of protecting him, as if he himself were a flame that might be extinguished by a little puff of wind..."
claw,claws,3850,18150,3,"""Let the tigers come with their claws!"""
respectfully,respectfully,6595,18178,1,When he arrived on the planet he respectfully saluted the lamplighter.
happier,happier,9409,18206,2,I shall feel happier and happier as the hour advances.
confess,confessed,5753,18387,2,"""Forget that I am ashamed,"" the tippler confessed, hanging his head."
naive,naive,3060,18407,1,They are naive.
salute,salutes,5461,18518,5,"""It is a hat for salutes,"" the conceited man replied."
rightly,rightly,5238,18553,2,"If you succeed in judging yourself rightly, then you are indeed a man of true wisdom."""
persist,persisted,13215,18561,1,He persisted.
stray,straying,721,18651,1,"And yet my little man seemed neither to be straying uncertainly among the sands, nor to be fainting from fatigue or hunger or thirst or fear."
poppy,poppies,3672,18661,1,"She did not wish to go out into the world all rumpled, like the field poppies."
greet,greet,869,18781,2,"And I was astounded to hear the little fellow greet it with,"
acclaim,acclaim,5470,18782,1,"""It is to raise in salute when people acclaim me."
drank,drank,7329,18821,3,"So would an explorer who drank too much."""
businessman,businessman,5806,18894,11,The fourth planet belonged to a businessman.
flown,flown,369,18993,1,I have flown a little over all parts of the world; and it is true that geography has been very useful to me.
forehead,forehead,6675,19058,2,Then he mopped his forehead with a handkerchief decorated with red squares.
hears,hears,10510,19077,1,"One sits down on a desert sand dune, sees nothing, hears nothing."
digestion,digestion,194,19098,1,"After that they are not able to move, and they sleep through the six months that they need for digestion."""
favourable,favourable,5067,19183,2,"But, according to my science of government, I shall wait until conditions are favourable."""
oneself,oneself,5230,19381,1,It is much more difficult to judge oneself than to judge others.
stroll,strolling,11272,19390,1,"""Then it was not by chance that on the morning when I first met you-- a week ago-- you were strolling along like that, all alone, a thousand miles from any inhabited region?"
boa,boa,155,19393,15,It was a picture of a boa constrictor in the act of swallowing an animal.
plunge,plunged,5686,19555,1,"This was a very short visit, but it plunged the little prince into deep dejection."
resemble,resemble,2493,19605,1,"You must see to it that you pull up regularly all the baobabs, at the very first moment when they can be distinguished from the rosebushes which they resemble so closely in their earliest youth."
riddle,riddles,8392,19762,1,"""But why do you always speak in riddles?"""
annoyed,annoyed,8740,19872,1,"""She would be very much annoyed,"" he said to himself, ""if she should see that..."
sire,Sire,4784,19965,2,"""Sire,"" he said to him, ""I beg that you will excuse my asking you a question--"""
loaf,loafing,6020,20026,2,I have no time for loafing.
confuse,confuse,3171,20060,1,"You confuse everything..."""
devote,devote,311,20131,1,"The grown-ups' response, this time, was to advise me to lay aside my drawings of boa constrictors, whether from the inside or the outside, and devote myself instead to geography, history, arithmetic and grammar."
discourage,discouraged,669,20138,2,"The grown-ups discouraged me in my painter's career when I was six years old, and I never learned to draw anything, except boas from the outside and boas from the inside."
antoine,Antoine,3,20212,2,Antoine de Saint-Exup ry
stride,strides,6898,20423,1,"""Your planet is so small that three strides will take you all the way around it."
catastrophe,catastrophe,2109,20424,2,"It was in this way that I heard, on the third day, about the catastrophe of the baobabs."
tedious,tedious,2499,20706,1,"It is very tedious work,"" the little prince added, ""but very easy."""
clap,Clap,5494,20787,2,"""Clap your hands, one against the other,"" the conceited man now directed him."
recital,recitals,7448,20880,1,The recitals of explorers are put down first in pencil.
shrub,shrub,3597,21111,1,"The shrub soon stopped growing, and began to get ready to produce a flower."
condemn,condemn,5290,21118,2,From time to time you will condemn him to death.
roar,roar,9955,21239,2,And a brilliantly lighted express train shook the switchman's cabin as it rushed by with a roar like thunder.
sprinkle,sprinkling,3802,21259,1,"And the little prince, completely abashed, went to look for a sprinkling-can of fresh water."
verge,verge,3952,21412,1,"Embarrassed over having let herself be caught on the verge of such a na ve untruth, she coughed two or three times, in order to put the little prince in the wrong."
thorn,thorns,2938,21418,13,"""Even flowers that have thorns?"""
invent,invented,10137,21495,1,This was a merchant who sold pills that had been invented to quench thirst.
locomotive,locomotive,9974,21531,1,"""Not even the locomotive engineer knows that,"" said the switchman."
disappearance,disappearance,7639,21577,2,"""It means, 'which is in danger of speedy disappearance.'"""
spectacle,spectacle,7786,21729,1,"Seen from a slight distance, that would make a splendid spectacle."
raft,raft,590,21748,1,I was more isolated than a shipwrecked sailor on a raft in the middle of the ocean.
solitude,solitude,13098,21790,1,"During his missions, Saint-Exup ry thought deeply about solitude, friendship, the meaning of life, the human condition, and liberty."
revolver,revolver,11561,21847,1,Even as I was digging into my pocked to get out my revolver I made a running step back.
dictator,dictator,1534,21872,1,"Fortunately, however, for the reputation of Asteroid B- , a Turkish dictator made a law that his subjects, under pain of death, should change to European costume."
scarcely,scarcely,564,21962,4,It was a question of life or death for me: I had scarcely enough drinking water to last a week.
thirst,thirst,731,22042,5,"And yet my little man seemed neither to be straying uncertainly among the sands, nor to be fainting from fatigue or hunger or thirst or fear."
acquaintance,acquaintance,1053,22164,1,And that is how I made the acquaintance of the little prince.
plainly,plainly,2612,22432,1,"""Children,"" I say plainly, ""watch out for the baobabs!"""
extinct,extinct,4184,22651,8,He also had one volcano that was extinct.
ponder,pondered,195,22652,1,"I pondered deeply, then, over the adventures of the jungle."
radiance,radiance,3677,22685,3,It was only in the full radiance of her beauty that she wished to appear.
tame,tamed,8906,22879,17,"""I am not tamed."""
misunderstanding,misunderstandings,9364,22960,1,Words are the source of misunderstandings.
admiration,admiration,3739,23032,1,But the little prince could not restrain his admiration:
revive,reviving,11791,23117,1,I could see that he was reviving little by little.
abode,abodes,8665,23126,1,And all roads lead to the abodes of men.
boast,boasted,9780,23203,1,"But in herself alone she is more important than all the hundreds of you other roses: because it is she that I have watered; because it is she that I have put under the glass globe; because it is she that I have sheltered behind the screen; because it is for her that I have killed the caterpillars (except the two or three that we saved to become butterflies); because it is she that I have listened to, when she grumbled, or boasted, or even sometimes when she said nothing."
disturb,disturbing,8959,23336,1,It is very disturbing.
whence,whence,8330,23775,1,"""Whomever I touch, I send back to the earth from whence he came,"" the snake spoke again."
forbid,forbid,4615,23833,2,"""I forbid you to do so."""
bulky,bulky,5086,23873,1,replied the king; and before saying anything else he consulted a bulky almanac.
adore,adore,8056,23934,1,"They adore figures, and that will please them."
thicker,thicker,8269,23940,1,"""You are no thicker than a finger..."""
businessmen,businessmen,7737,24039,1,"One can count; there are kings (not forgetting, to be sure, the Negro kings among them), geographers, , businessmen, , , tipplers, and , , conceited men-- that is to say, about , , , grown-ups."
abyss,abyss,11750,24213,1,I was holding him close in my arms as if he were a little child; and yet it seemed to me that he was rushing headlong toward an abyss from which I could do nothing to restrain him...
xviii,XVIII,111,24277,2,Chapter XVIII
seriousness,seriousness,638,24329,1,"And I saw a most extraordinary small person, who stood there examining me with great seriousness."
pulley,pulley,10831,24365,7,"""Everything is ready for use: the pulley, the bucket, the rope..."""
asteroid,Asteroid,1468,24458,8,"He might call it, for example, ""Asteroid ."""
eruption,eruptions,4208,24857,2,"If they are well cleaned out, volcanoes burn slowly and steadily, without any eruptions."
andes,Andes,13077,25192,1,"There also, he accomplished many dangerous missions over the Andes."
thirsty,thirsty,10336,25239,4,"""He has never been either hungry or thirsty."
shabby,shabby,12209,25249,1,"It will be a very shabby trick that I shall have played on you..."""
sweetness,sweetness,4345,25334,3,He did not understand this quiet sweetness.
indifference,indifference,1801,25345,1,"But certainly, for us who understand life, figures are a matter of indifference."
xix,XIX,113,25346,2,Chapter XIX
resemblance,resemblance,1981,25520,1,"One drawing goes along all right, and another has no resemblance to its subject."
abruptly,abruptly,1182,25555,3,"At that moment I caught a gleam of light in the impenetrable mystery of his presence; and I demanded, abruptly:"
weep,weeping,11362,25728,1,"One runs the risk of weeping a little, if one lets himself be tamed..."
moan,moaned,10848,25866,1,"And the pulley moaned, like an old weathervane, which the wind has long since forgotten."
sank,sank,1214,25908,1,"And he sank into a reverie, which lasted a long time."
siberia,Siberia,7824,26069,1,"Next, the lamplighters of China and Siberia would enter for their steps in the dance, and then they too would be waved back into the wings."
xvii,XVII,109,26200,2,Chapter XVII
dedicate,dedicating,20,26228,2,I ask the indulgence of the children who may read this book for dedicating it to a grown-up.
miraculous,miraculous,3623,26267,1,"The little prince, who was present at the first appearance of a huge bud, felt at once that some sort of miraculous apparition must emerge from it."
dangle,dangling,11400,26291,1,"When I came back from my work, the next evening, I saw from some distance away my little price sitting on top of a wall, with his feet dangling."
peacefully,peacefully,3550,26346,1,"One morning they would appear in the grass, and by night they would have faded peacefully away."
brilliantly,brilliantly,9945,26519,3,And a brilliantly lighted express train shook the switchman's cabin as it rushed by with a roar like thunder.
echoed,echoed,8455,26570,1,she echoed.
shuts,shuts,12683,26711,1,"The little prince shuts his flower under her glass globe every night, and he watches over his sheep very carefully..."""
tenderness,tenderness,4073,26713,2,"This tale of claws, which disturbed me so much, should only have filled my heart with tenderness and pity."""
stately,stately,7184,26755,1,It was the most magnificent and stately planet that he had ever seen.
muffler,muffler,11624,26843,1,I had loosened the golden muffler that he always wore.
cumbersome,cumbersome,885,27419,1,"A boa constrictor is a very dangerous creature, and an elephant is very cumbersome."
